,y,"V(y)_0,0",-78.75;0,-118.125;0,0;-118.125,0;-118.125
0,0.005,0.02625,0.01968750000000001,0.029531250000000002,0.035,0.023333333333333334
1,0.01,0.049736842105263156,0.037302631578947386,0.055953947368421054,0.06631578947368422,0.04421052631578948
2,0.015,0.07046052631578947,0.052845394736842126,0.07926809210526316,0.09394736842105264,0.06263157894736843
3,0.02,0.08842105263157896,0.06631578947368423,0.09947368421052631,0.11789473684210527,0.07859649122807018
4,0.025,0.10361842105263158,0.0777138157894737,0.11657072368421052,0.13815789473684212,0.09210526315789473
5,0.030000000000000002,0.11605263157894737,0.08703947368421054,0.13055921052631578,0.15473684210526314,0.10315789473684209
6,0.035,0.1257236842105263,0.09429276315789475,0.1414391447368421,0.1676315789473684,0.11175438596491226
7,0.04,0.1326315789473684,0.09947368421052634,0.14921052631578946,0.17684210526315788,0.11789473684210525
8,0.045,0.13677631578947366,0.1025822368421053,0.15387335526315787,0.18236842105263157,0.12157894736842105
9,0.049999999999999996,0.1381578947368421,0.10361842105263162,0.15542763157894737,0.1842105263157895,0.12280701754385967
10,0.05499999999999999,0.13677631578947366,0.10258223684210531,0.1538733552631579,0.1823684210526316,0.12157894736842108
11,0.05999999999999999,0.1326315789473684,0.09947368421052635,0.1492105263157895,0.17684210526315788,0.11789473684210529
12,0.06499999999999999,0.12572368421052632,0.09429276315789477,0.1414391447368421,0.16763157894736838,0.1117543859649123
13,0.06999999999999999,0.11605263157894737,0.08703947368421056,0.13055921052631578,0.15473684210526314,0.10315789473684213
14,0.075,0.10361842105263158,0.0777138157894737,0.11657072368421051,0.1381578947368421,0.09210526315789476
15,0.08,0.08842105263157896,0.06631578947368422,0.09947368421052631,0.11789473684210525,0.07859649122807019
16,0.085,0.07046052631578949,0.05284539473684211,0.07926809210526316,0.09394736842105261,0.06263157894736843
17,0.09000000000000001,0.04973684210526316,0.03730263157894737,0.055953947368421054,0.0663157894736842,0.04421052631578948
18,0.09500000000000001,0.026250000000000002,0.019687500000000004,0.029531250000000002,0.034999999999999996,0.023333333333333338
