,y,v(y),v´(y)
0,0.0,0.0,4.973684210526317
1,0.01,0.04973684210526317,3.8684210526315796
2,0.02,0.08842105263157897,2.7631578947368425
3,0.03,0.1160526315789474,1.6578947368421055
4,0.04,0.13263157894736843,0.5526315789473686
5,0.05,0.13815789473684212,-0.5526315789473684
6,0.060000000000000005,0.13263157894736843,-1.6578947368421053
7,0.07,0.11605263157894738,-2.7631578947368425
8,0.08,0.08842105263157896,-3.8684210526315796
9,0.09,0.049736842105263156,-4.973684210526317
10,0.09999999999999999,-1.3877787807814457e-17,-6.078947368421054
