,y,v(y),v´(y)
0,0.0,0.0,4.99863573355263
1,0.01,0.05023712431092442,3.887827792763157
2,0.02,0.08931044321942119,2.7770198519736837
3,0.03,0.11721995672549032,1.6662119111842102
4,0.04,0.1339656648291318,0.5554039703947367
5,0.05,0.13954756753034564,-0.5554039703947369
6,0.060000000000000005,0.1339656648291318,-1.6662119111842104
7,0.07,0.11721995672549033,-2.7770198519736837
8,0.08,0.08931044321942122,-3.887827792763157
9,0.09,0.050237124310924454,-4.99863573355263
10,0.09999999999999999,3.469446951953614e-17,-6.109443674342104
