w,n
0.8333333333333334,7.0
0.6388888888888888,11.0
1.0277777777777777,16.0
0.4444444444444444,19.0
0.25,35.0
1.2222222222222223,47.0
1.4166666666666667,998.0
1.6111111111111112,998.0
1.8055555555555556,998.0
2.0,998.0
